model,condition,n,mean_CDS,std_CDS
claude,B,15,-0.03200000000000001,0.051018204034022435
claude,C,15,-0.0040000000000000036,0.015491933384829681
gemini,B,15,0.0013333333333333346,0.0035186577527449876
gemini,C,15,0.0020000000000000018,0.020424075429327466
gpt52,B,15,0.00733333333333334,0.020165977949672252
gpt52,C,15,-0.0059999999999999975,0.015023790657297042
